index|0
In Turkish culture, the term Baraka translates to an old wooden home|Baraka
Traditionally, it […]|restaurants
Natural wine from the Contra team, fresh seafood, and other new restaurants to expect from the sprawling new food hall and market|restaurants
Nami Nori is a reasonably priced sushi spot in the West Village that specializes in taco-shaped hand rolls and looks like a fancy nail salon.|Nami Nori
Troubled burger group Byron will launch a new brand concept and menu on November 21|Byron
The 53-strong restaurant chain, which launched 12 years ago to much fanfare, narrowly escaped collapse amid the casual dining crunch, but has come out fighting with a bold new strategy|restaurants
As much as £15m will be invested in the brand […]|restaurants
West London all-day casual restaurant and cafe chain Chucs is to open in Belgravia|Chucs
Some might find the news unpromising given what some reporters see as the group’s Monte Carlo-esque approach to pricing, but Chucs must be doing something right given the group is to open a new flagship in this prime postcode|Chucs
The Belgravia […]|restaurants
I know everything should start with an onion|restaurants
Sometimes just garlic will do|restaurants
When I made this dish I started with minced beef not sure of what I would add next|restaurants
The final result was a tasty speedy supper that required little work or preparation|restaurants
I call that a winner!|restaurants
Llama San is a Nikkei restaurant in the West Village from the people behind Llama Inn|Llama San
It’s pricey, but the food is incredibly delicious.|restaurants
From a 24-hour Cuban spot to a bakery with disturbingly good carrot cake, here are the 18 best places to eat in Washington Heights.|restaurants
Golden Diner is a little spot in Two Bridges that serves modern diner classics|Golden Diner
It’s worth planning lunch here a week in advance.|restaurants
The Mekelburg’s Williamsburg location is the kind of place you should go in a time of need|Mekelburg’s Williamsburg
Or anytime you want fantastic sandwiches and beers.|restaurants
Le Relais De Venise L’Entrecôte is a French restaurant in Midtown East where the only thing on the menu is very good steak frites.|Le Relais De Venise L’Entrecôte
Cleveland, Ohio, is home to the Rock n’ Roll Hall of Fame, but there are more reasons than just that excellent museum to visit the city.|restaurants
Cleveland has a few steakhouses that are part of larger national organizations but also many that are unique to the area, found nowhere else in Ohio, the Midwest…or even the world|restaurants
That’s what we find most intriguing about Cleveland.|restaurants
Here are six of Cleveland’s best steakhouses, each one unique, each one offering a different atmosphere and different takes on the highest quality USDA prime steaks.|restaurants
As we cruise into the harvest season, you can bet that Chicago steakhouses will be leveraging the best product to set alongside that beautiful steak you’ve ordered.|restaurants
Here are five of Chicago’s Best Steakhouses, each offering the best veggies you’re likely to find anywhere, and that you’re most likely to find in a Chicago steakhouse.|restaurants
2120 W Broadway, Vancouver Tel: (604) 288-2941 Web: http://gyopara.com Instagram @gyopara Advice: No reservations, server will seat you on arrival or take your name for the next table|gyopara
Located in the heart of Kitsilano is this hot spot eatery run by…|restaurants
1426 W 8th Ave, Vancouver Tel:  (604) 800-0211 Web: https://mixxbao.com/ Instagram @mixxbao Specializing in Taiwanese inspired snacks and comfort food dishes, Chef Merry and her team has been making delicious dumplings, soups and sandwiches in this South Granville locale|mixxbao
Both…|restaurants
1739 Robson St, Vancouver Tel: (604) 673-5688 Web: https://noodlearts.com/ Instagram: @noodlearts_vancouver Advice:Open daily for lunch and dinner|noodlearts
Specializing in the Lanzhou style of noodles pulling long noodles is quite the art, here master chef makes the dough and hand pulls…|restaurants
265 Kingsway, Vancouver Tel: (604) 876-6333 Web: https://sprezzatura.ca/ instagram @sprezzatura_van Advice: Reservations suggested for dinner, walkins welcome|sprezzatura
With it’s Italian focus, this casual eatery is not only specializing in pizzas and roast dishes but they are also featuring other dishes…|restaurants
1725 Davie St, Vancouver Tel: (604) 336-9774 Web: https://arikerestaurant.ca/ Instagram: @arikerestaurant Advice: Reservations suggested on weekends, walk-ins always welcome|arikerestaurant
Dinner nightly|restaurants
Love the African decor and the vibe at this West End spot where they specialize in West African cuisine…|restaurants
509 Main Street, Vancouver Tel: (604) 685-5623 Web: https://warathai.ca/ Instagram @warathaieatery Advice: Walk-ins welcome|warathai
Closed Sundays|restaurants
Specializing in traditional Thai cuisine, this Chinatown neighborhood eatery has a wonderful menu filled with classic flavourful dishes|restaurants
I have tried several dishes starting…|restaurants
221 Abbott Street, Vancouver Tel: (604) 367-6126 Web: https://praguery.com/ Instagram @thepraguery Advice: Counter service|praguery
With his European roots, Owner, Jaroslav Mestka set-out to offer house-made chimney cakes from his homeland on his food truck a few years ago|restaurants
Fast tracking…|restaurants
1889 Powell St, Vancouver Tel: (604) 428-7975 Web: https://www.alepheatery.com/ Instagram: @alepheatery Advice: Reservations suggested With it’s focus on vegetarian Middle Eastern cuisine, the owners have created a wonderful vibe at their Eastside eatery|alepheatery
Over a couple of visits I have…|restaurants
291 East Pender, Vancouver Tel: (604) 423-4300 Web: https://www.boqueria.ca instagram @boqueria.ca Advice: No reservations|boqueria
With it’s focus on the Basque style, it’s the food and drink of San Sebastian that will lure you in to this hotspot with a great…|restaurants
The latest restaurant concept from local chef J-C Poirier specializes in fare from the land of Carnaval, joual, and Laval.|restaurants
It’s not reinventing the diner so much as morphing the classic experience into an updated, very Vancouver version of casual dining.|restaurants
Feeding the beast—otherwise known as Vancouver’s insatiable appetite for Japanese cuisine—has not come without its hits and misses.|restaurants
You’d think that the Glowbal Restaurant Group would have things figured out by now|Glowbal Restaurant
With Glowbal, located at Telus Garden, you’d be right.|restaurants
Forget student food—Perch Restaurant is ruling the culinary roost at UBC by offering quality dishes at affordable prices.|restaurants
Despite having a name similar to that of David Chang’s Momofuku (“lucky peach” in Japanese), Torafuku (“lucky tiger”) is wholly original.|Momofuku, Torafuku
A simple recipe for Crown Prince Squash, Ginger and Coriander Soup with you|restaurants
It is so bright and full flavoured|restaurants
As much as coconut milk loves this squash, I dare say as much as I do, I only add it on the top allowing the squash to shine in the soup.|restaurants
Land and Sea, Surf and Turf|restaurants
However you spin this, it is delicious|restaurants
And it is easy too|restaurants
I love to make one great thing and then do lots of things with it, the beef and chorizo filling for the squid is a perfect example for this|restaurants
It is super flexible and adaptable|restaurants
It makes a great kebab, an excellent burger, it can be a meatball.|restaurants
I know you don’t need to have an excuse to have a Bubbly Brunch but when you have crisp fluffy smoked salmon waffles beside your gorgeous glass of aged cava, I don’t see how you can resist.|restaurants
Cava is an excellent wine choice|restaurants
As with champagne, it is made in the traditional method and it is fermented and aged in bottle leading to some excellent wines.|restaurants
Cava has a DO (denomination of origin) which means that it can only be made in specific areas, although 95% of cava is made in Penedès in Catalonia|restaurants
Cava is made primarily with indigenous Spanish grapes, Macabeo, Parellada and Xarel·lo|restaurants
Other grapes like chardonnay are also added at times.|restaurants
Cava can be white or rosé and as part of the traditional method cava has two fermentations, the second being in bottle where it can also be aged. Reserva, Gran Reserva and Cava de Paraje wines are all aged high quality cava wines which you can enjoy in some terrific Spanish tapas bars and restaurants across the UK this week.|restaurants
A heads up for you that my residency at fabulous Irish cocktail bar in Islington, Homeboy, is coming to a close this weekend|restaurants
Do come, there are only 3 more days and 4 services:|restaurants
I naively thought when I started that I could spend the mornings writing and working on my book, but I learned quickly that service is all-consuming physically and rest is required in between services|restaurants
Services are long and really tiring|restaurants
I have never done so much wash up! I have been running the kitchen solo, cook and KP.|restaurants
It has been 6 weeks since I started and it has been a lot of fun and it has been really wonderful to meet many of you and feed you! Now, I need to get back to my desk|restaurants
I adore cooking but I miss writing, and I need to publish that book, Bacon, now.|restaurants
|restaurants
Brief recap! Parma Ham is one of those products where you are gifted instant flavour, the work all being done by the producer before it hits your plate|restaurants
It is preservative free, being just Pork + Air + Salt + Time and lessons learned from history and generations of prior producers|restaurants
Parma Ham plays well with others and gifts instant depth of flavour to many things|restaurants
It makes a lovely crisp jacket when you wrap other things in it, whether that is a bundle of green beans or asparagus, a lovely piece of fish or in this case pork belly.|restaurants
My pork belly obsession is well documented|restaurants
It is a perfect roast, yes, especially when you roast it slow|restaurants
It is brilliantly flexible beyond this though|restaurants
I have taken to cooking smaller amounts of pork belly quicker with excellent results|restaurants
This Parma Ham wrapped pork belly is a perfect example and it is so good|restaurants
The ham keeps all the pork belly juices inside as it cooks, and gives it an extra deeply savoury layer.|restaurants
On the side, as much as I love the humble spud and a slick plate of mash, I go for beans here|restaurants
Beans also make great mash and they are especially nice for summer or Autumn|restaurants
I like to use a plump butter bean (or better yet, Greek gigantes beans)|restaurants
Not only do they make a delicious mash, they make an instant one too|restaurants
Protein rich with a hint of garlic and savouriness of rosemary|restaurants
Those roasting juices from the pork belly wrapped with Parma Ham are sublime and elevate everything.|restaurants
You can of course use a favourite chilli oil or one that you have at home|restaurants
I provide a recipe for a simple one here flavoured with garlic and chilli|restaurants
Play around, make a peppercorn oil, add herbs as it cools down (not at the beginning or they will burn)|restaurants
Homemade oils bring brilliant flavour|restaurants
If you don’t want chilli make a simple herb oil by blending a flavourful herb (like oregano or basil) with some oil, allowing it to infuse and then pass it through a coffee filter or similar and you are good to go.|restaurants
A ham sangwich (correct spelling!) was the frequent snack of many an Irish childhood|restaurants
Especially at my Grandmothers when we would visit on St Stephen’s Day (aka Boxing Day)|restaurants
I knew that I would have to eat that ham in order to access some biscuits|restaurants
As with most things, it was beautiful in its simplicity|restaurants
Thick sliced bread, butter, home cooked ham, done.|restaurants
My rural Irish childhood involved only Irish ham (which is of course very good)|restaurants
It was often home-cooked, thickly sliced, and sometimes pulled directly from the ham by my tiny enthusiastic hands|restaurants
When I moved from rural Ireland to Cork city, I discovered a wonderful Italian deli (Iago’s), where I would become a regular|Iago’s
It was there that I discovered the joys of Parma Ham|restaurants
I went through a phase of wrapping everything in it, and I still do sometimes today|restaurants
I especially love it as a satisfying meaty snack for moments requiring instant gratification.|restaurants
Parma, the home of Parma Ham (and Parmiggiano Reggiano), is a small city in Emilia Romagna in Northern Italy|restaurants
Emilia Romagna has a sublime food culture|restaurants
Described as the belly of Italy (which gives some clue as to just how well you will eat there), Emilia Romagna is one of my most visited places (along with Rome)|restaurants
It is the home of many things, including my favourite|restaurants
and that gorgeous and very underrated wine, Lambrusco|restaurants
Parma itself is a joy of a place to walk around with its winding streets lined by tall brightly painted old buildings.|restaurants
Tofu! Now some of you are going to read that and think, WHAT?! TOFU?! Yes, tofu|restaurants
Why? It is horribly underrated and completely delicious|restaurants
Once you get the real thing|restaurants
Tofu is thought of as a vegetarian or vegan ingredient, and yes it is, but in Asia it is as common to see it in a dish with meat, as not|restaurants
See my recipe for|restaurants
Tofu is also a fast food|restaurants
The fastest, it is already good to go|restaurants
It soaks up flavours and loves contrasting textures|restaurants
I love it in a crispy fritter for brunch as much as I do in a stew|restaurants
I love proper silken tofu, fresh from fridges of Asian food shops (especially Japanese)|restaurants
Silken is a joy, the very good stuff has the texture of custard|restaurants
All of it is sublime when fried, and I have fried tofu every which way|restaurants
A firm – nay, wobbly – favourite is Agedashi Tofu.|restaurants
A Japanese delight of a dish, age-dashi means fry-dashi and that is what this is, fried tofu with a seasoned dashi broth|restaurants
Seasoned with soy and mirin (you can use sake too)|restaurants
It is naturally gluten free, usually using potato starch or corn starch|restaurants
I love to use potato starch for this, it confers a stretchy crispness which is perfect with the wobbly tofu underneath|restaurants
I sometimes mix the potato starch with rice flour, and of course you can just use rice flour too which will give a lovely crisp coating.|restaurants
Well I am excited and nervous in equal amounts|restaurants
My second book BACON is going to print in September to be delivered in plenty of time for Christmas|restaurants
For you early birds there is an early bird offer that runs only until Monday (|restaurants
If you want a copy, you need to act now|restaurants
This will be a limited edition release and there is only going to be one small print run this year limited to 1000 books|restaurants
I will be stuffing the envelopes myself – and of course, signing every copy! – and with 800 already sold that pretty much sorts my November! My priority is to deliver the book to my wonderful original backers, and also to print additional copies for readers who may have missed that opportunity or joined the fold since then.|restaurants
With the exception of a handful of recipes that were in my Sunday Bacon Club and Bacon Masterclasses, these are all spanking NEW! None of the recipes exist elsewhere and if you love bacon you must have it|restaurants
If you love to eat generally|restaurants
Bacon is the focus but not always dominant|restaurants
Sometimes it is!|restaurants
Hake is a beauty of a fish that is so underappreciated|restaurants
We love it in Ireland, the Spanish love it too|restaurants
In a way, I am glad that it isn’t hugely popular here as it makes it quite affordable|restaurants
That big piece of hake in the photo came in at under £5 in an excellent but expensive London fishmonger|restaurants
It flakes gently and has a beautiful light flavour|restaurants
It works very well with big things like chorizo but it also plays well with gentler things like these summery beans.|restaurants
That brisk sea breeze off the Bay of Fundy is enough to clear all cobwebs and signs of jet lag|restaurants
I was up early the next day and on my way|restaurants
Headed to Saint Andrews by the Sea with a pit stop by the beach, and for some fried clams|Saint Andrews by the Sea
It can be hard to get me out of my bed in the morning especially with jet lag, but not when there is an early lunch of fried clams on the immediate horizon.|restaurants
About a half hour drive out of Saint John lies New River Beach|restaurants
A gorgeous stretch of coastline, all sandy beach and bright blue ocean and sky|restaurants
A paddle in the ocean before a feed of fried clams (and other gorgeous fried things) is a joyful thing|restaurants
The clams were at Ossie’s Lunch|Ossie’s Lunch
A small diner at the side of the road with lots of picnic tables where you can tuck in outside.|restaurants
Entering its 61st season, Ossie’s Lunch was opened in 1957 by Osborne and Roseanna Waite and is still going strong under new owner Shawn Saulnier|Ossie’s Lunch
Roseanna still works there on occasion, as does her daughter Angela|restaurants
You probably don’t know – I didn’t – that New Brunswickers LOVE fried clams and places like Ossie’s Lunch are packed on public holidays and in season.|restaurants
For the second part of my Vorarlberg stay, we moved to Bregenzerwald|restaurants
The drive to Bregenzerwald from Lech is a magical weave through valleys and mountains|restaurants
Sweeping winding roads, and lots of promise|restaurants
So stunning we had to stop to take some photos and stop and pause to take it all in.|restaurants
|restaurants
A beautiful restaurant in an old house with one of those beautiful large tiled heaters (a Kachelofen)|restaurants
Windows draped by small curtains looked at the mountains outside|restaurants
We took a table in the corner and perused the traditional menu|restaurants
I love the menus in places like this|restaurants
Plump käsespätzle (handmade noodle shreds in a voluptuous and generous cheese sauce) and schnitzel were what drew most of us in|restaurants
The cool mountain air creates an enthusiastic appetite and with a distillery trip straight after, there is a need for it.|restaurants
I am fond of winter but I love to see it go|restaurants
By the time it leaves it has become an unwelcome guest|restaurants
It is a relief to see the buds open at Springtime and the trees begin to flourish, as they are this week|restaurants
Walks home from the supermarket are peppered with mini assaults of blossom fragrance|restaurants
The footpaths are dusted with their petals|restaurants
The days are longer, the sky brighter, there is the promise of summer to come|restaurants
Food becomes more interesting as we are almost out of the Hungry Gap (that period when little grows).|restaurants
Mountains come into their own in Spring and Summer|restaurants
No more so than those favoured for their winter culture like the Alps|restaurants
Last summer I visited Vorarlberg in the Austrian Alps|restaurants
Our drive from Zürich ascended in the dark, in the morning I was greeted with crisp air, the sights of lush meadows and tall peaks, and bubbling brooks.|restaurants
The town of Lech is a pretty one|restaurants
Famed for royal visitors (Princess Diana would ski here), it is also one of the worlds premier ski destinations|restaurants
But Lech is also a joy in summer|restaurants
The crowds are gone, and in the place of the snow all is lush|restaurants
The days are hot and long, but there is crisp clear air accompanying.|restaurants
I know everything should start with an onion, or so the saying goes|restaurants
Most of my cooking does|restaurants
But not always|restaurants
Sometimes just garlic will do and occasionally not at all|restaurants
When I made this dish I started with minced beef not sure of what I would add next|restaurants
The final result was a tasty speedy supper that required little work or preparation|restaurants
I call that a winner!|restaurants
I am a regular visitor to Canada|restaurants
I love the vast expanse of it|restaurants
The people, the calm, the lakes and forests, the cities with the quickly expanding and inspiring culinary scene|restaurants
Excellent cocktails, terrific Canadian wines, a booming craft booze scene and lovely restaurants and bars to sample them|restaurants
Canada is an excellent place for a road trip, especially a culinary one.|restaurants
New Brunswick was the scene of my most recent Culinary Road Trip, packed with snow crab and lobster, lush produce from the farmlands and foraged seaweeds and sea greens from the seashore|restaurants
It is one of four of Canada’s Atlantic provinces on the east coast|restaurants
83% of New Brunswick is under forest, and the cities are small by international standards|restaurants
It is a perfect relaxed spot for a break and to unwind. I flew into Saint John via Halifax, Nova Scotia|restaurants
A short flight in a small plane with excellent views of the landscape below brought me to Canada’s oldest incorporated city|restaurants
I started my culinary road trip here.|restaurants
New Brunswick is the only officially bilingual province in Canada with English and French being commonly spoken|restaurants
The indigenous population has been established there since 7000BC (at the time of European contact these included the Mi’kmaq, the Maliseet, and the Passamaquoddy)|restaurants
Populations arrived from Europe from the 1600s included French, British and Irish|restaurants
The city of Miramichi claims to be the Irish capital of Canada and was one of the points of arrival for many of Ireland’s coffin ships during the famine|restaurants
It is home to a large Irish Festival now every year|restaurants
New Brunswick was almost called New Ireland at one point until it was vetoed by King George III|restaurants
Which, of course it was.|restaurants
I cooked this at a supper club for 30 people recently|restaurants
The fourth course of five – all containing black pudding – and as much as I love this dish, I fully did not expect every plate to come back clean|restaurants
But they did! And so I think we can all agree that it is a winner|restaurants
They told me so too.|restaurants
You see the thing is when so many of your days revolve around cooking and you are generally the only person eating it, it becomes easy to question every bite and wonder if it is enough|restaurants
Should it be more, bigger, brighter? Everyone who works alone has this problem in one way or another|restaurants
It would be perfect to have someone to bounce things off, a recipe tester, a friend|restaurants
A room full of 30 people eating your food with enthusiasm? Perfection.|restaurants
, no other meat|restaurants
It is a popular recipe on here, called (tongue in cheek) Corkese|restaurants
I use Irish black pudding and would suggest that you seek it out for this too|restaurants
It has a different texture to British black pudding, made with oats and spices, it crumbles and almost bursts when you roast it.|restaurants
The more that I cook, the more I desire simplicity|restaurants
Fresh bright flavours delivered without fuss and with speed|restaurants
Food that is healthy and bright.|restaurants
There was a time when I would devote much of my evening to delivering the meal that I would eat, often too late|restaurants
Increasingly my cooking becomes simpler, fitted into tighter timeframes|restaurants
I desire food that is fast and that delivers on flavour and that will sustain me too|restaurants
Food that is healthy and balanced and that changes day to day. This way I always enjoy it, and my nutritional intake is varied too.|restaurants
I generally cook for one but I usually cook enough for two meals each time|restaurants
Borrowing time from the night before for the next day|restaurants
Leftovers are terrific and the second iteration will usually have a twist so that it is different|restaurants
This didn’t|restaurants
I loved it so much the first time I kept it the same.|restaurants
Today is Pancake Tuesday / Shrove Tuesday / Mardi Gras|restaurants
What a happy eating day! Mardi Gras means Fat Tuesday, the day to clear your cupboards before 40 days of Lenten fast. Every day can be pancake day but Pancake Tuesday is the one|restaurants
I have gathered my favourite pancake recipes for you|restaurants
Get stuck in.|restaurants
These dal pancakes were originally made with leftover dal but you should absolutely cook up a batch to make them|restaurants
They are a cracker and enlivened with the gorgeous aromas from the crisped curry leaves and the punch of bright chilli oil.|restaurants
We live in the age of the multi cooker|restaurants
Many modern kitchens have one small appliance that does many jobs, and it isn’t your stove|restaurants
The latest to launch in the UK comes from Ninja Kitchen,|Ninja Kitchen
, and in a state when Tom decided to leave the restaurant (and London) in the Summer of 2018|restaurants
For a brief moment, he transferred head cheffing duties to his old sous,|restaurants
, which was absolutely the right choice as he ran shop like a bomb with Charlotte at FOH|restaurants
Unfortunately the new owners at Bonhams had a change of heart and rather abruptly decided to shut the restaurant at the end of 2018|Bonhams
Only to have another change of heart, to (puzzlingly) put in something apparently trendy (at least it isnt skewers and sandwiches, I suppose), less ambitious and in the process had consciously dumped one of the few worthy michelin restaurants in London that practiced proper classic technique and bought in whole fish and poultry.|restaurants
Will Lander and the Portland crew have now recently settled in for their little Italian bistro, and while i like my tortelini il brodo, I wish Will and Dan all the best with their latest gig of course, but I will now turn my attention to Horsham (of all places), as that is where the great Tom Kemble has decided to take the next step in his culinary game.|Horsham
Some of you will know the hotel, South Lodge belonging to a group of country hotels with capable chefs attached, such as Matt Worswick at The Latymer|The Latymer
While others will no doubt have visited The Pass at Southlodge, when it was run by Matt Gillan, formerly of GBM fame and also recipient of a michelin star.|The Pass
Tom inherits Matt’s old digs, its USP being the relative borderless gap between the diners sitting on high table top banquettes and the kitchen, separated by carefully placed glass panels (installed by Tom and co).|restaurants
Having started here since the start of 2019, he has settled in with the new kitchen, new team and rather refreshingly his cuisine is now evolving, or more precisely, left unshackled by Bonhams’ rather conservative clientele tastes|Bonhams
He is now more freely injecting his wholly minimalist style with touches of Japanese methods, as well as developing new cooking techniques which were otherwise impossible in the Bonhams basement kitchen.|Bonhams
Product quality and insistence on a la minute cooking is still the focus of his cuisine, to this point, since Tom is now closer to the South coast, he’s taking full advantage of this by sourcing from relative proximity – seabass and scallops being two examples.|restaurants
At Bonhams, there was always the careful preservation of natural flavours, today, he layers with a sleuth of rice vinegars, dashis and other layers of flavours to progress the overall delivery of his dishes|Bonhams
One other fundamental new string that Tom has incorporated in his repertoire is premium smoke in the form of a new konro grill that takes binchotan|restaurants
He showed us a few dishes, of the ones that stood out for me, were the oyster with smoked Chantilly cream as well as the lobster – cooked in shell to a perfect mi-cuit centre, and imbued with a very subtle lacing of smoke|restaurants
Lovely cuisson, but it gets better as he matches the lobster with a heart racing bone-marrow and madeira sauce – Tom’s idea of a surf and turf.|restaurants
To finish, Tom demos his latest pudding developments, a homage to Stephen Harris’ much loved chocolate mousse|restaurants
Tom extrapolates the chaud-froid effect with a super clean milk sorbet, passionfruit gel and pump street chocolate thats been fried to a crispy sub-cooled temperature by liquid nitrogen (which he also inherits from Matt G)|restaurants
As with The Sportsman, the warm chocolate mousse is very light, as it is pushed through a whipper.|restaurants
Coffee is by Difference Coffee, Tom is offering either the stock beans or blue mountain (though I personally like the Hawaiian stuff), and caviar is Attilus, just like at The Latymer|he Latymer
Wine will take some time to come along as its part of the Hotel’s charge, but all in all, it is very exciting.|restaurants
If you are like me, and have also enjoyed his restraint cooking at Bonhams, I recommend popping down to Horsham to give the new Kembler a spin|Bonhams, Horsham
The man is excited in his new kitchen and has furiously developed his cuisine|restaurants
He does taster menus at three price points, £50 , £70, £90pp|restaurants
We opted for a longer carte blanche and was charged £120pp + drinks + service for the meal.|restaurants
I loved this|restaurants
It appears simple but the whole is certainly greater than the sum of its constituent parts|restaurants
He’s basically assembled ocean minerals of the oyster, caviar and plankton, to contrast with the plushness of the chantilly having taken up the essence of binchotan|restaurants
Smoke has the effect of deepening flavours, both savoury and the sweetness of the oyster.|restaurants
Seamless, silk smooth and perfectly delicate savoury custard, served warm and at the start of the meal (which is how I prefer it)|restaurants
